event_id,particle_id,method,param,eps,fixed_dR,min_samples,candidate_dR,truth_mode,truth_energy,truth_eta,truth_phi,n_event_cells,target_n_hits_total,target_e_cal_total,cluster_n_hits,target_n_hits_in_cluster,contam_n_hits,hit_purity,hit_contamination,hit_efficiency,cluster_e_cal_total,target_e_cal_in_cluster,contam_e_cal,energy_purity,energy_contamination,energy_efficiency,matched,failure_reason,n_candidate_cells,n_clusters,n_noise_candidate_cells,chosen_cluster_label
0,233,dbscan,0.04,0.04,,2.0,0.4,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,2965.0,821.0,2144.0,0.27689713322091064,0.7231028667790893,0.9975698663426489,71.40431261616868,32.41663241283277,38.98768020333591,0.45398703838922466,0.5460129616107754,0.9995347606677529,True,,3005.0,6.0,4.0,0.0
0,233,dbscan,0.06,0.06,,2.0,0.4,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,3004.0,821.0,2183.0,0.2733022636484687,0.7266977363515312,0.9975698663426489,71.9162757691538,32.41663241283277,39.49964335632103,0.4507551603045726,0.5492448396954275,0.9995347606677529,True,,3005.0,1.0,1.0,0.0
0,233,dbscan,0.08,0.08,,2.0,0.4,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,3005.0,821.0,2184.0,0.27321131447587355,0.7267886855241265,0.9975698663426489,71.92680220735383,32.41663241283277,39.51016979452106,0.45068919259583706,0.5493108074041629,0.9995347606677529,True,,3005.0,1.0,0.0,0.0
0,233,dbscan,0.1,0.1,,2.0,0.4,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,3005.0,821.0,2184.0,0.27321131447587355,0.7267886855241265,0.9975698663426489,71.92680220735383,32.41663241283277,39.51016979452106,0.45068919259583706,0.5493108074041629,0.9995347606677529,True,,3005.0,1.0,0.0,0.0
0,233,fixed_dR,0.05,,0.05,,,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,817.0,766.0,51.0,0.9375764993880049,0.062423500611995086,0.9307411907654921,32.595940134488046,31.704733931564988,0.8912062029230583,0.9726589814791039,0.0273410185208961,0.9775840759380202,True,,817.0,1.0,,0.0
0,233,fixed_dR,0.08,,0.08,,,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,914.0,807.0,107.0,0.8829321663019694,0.11706783369803064,0.9805589307411907,34.0974834712415,32.237996782214395,1.8594866890271078,0.9454655740035643,0.054534425996435654,0.9940267078872246,True,,914.0,1.0,,0.0
0,233,fixed_dR,0.1,,0.1,,,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,934.0,817.0,117.0,0.8747323340471093,0.12526766595289074,0.9927095990279465,34.3622481334296,32.3807448952266,1.981503238203004,0.9423348777848071,0.05766512221519293,0.9984282045991083,True,,934.0,1.0,,0.0
0,233,fixed_dR,0.15,,0.15,,,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,1050.0,821.0,229.0,0.7819047619047619,0.21809523809523812,0.9975698663426489,36.09132258722639,32.41663241283277,3.674690174393618,0.8981835546338726,0.10181644536612744,0.9995347606677529,True,,1050.0,1.0,,0.0
0,233,fixed_dR,0.2,,0.2,,,full,32.27399826049805,0.3122902388930224,-1.1670601308641846,664361,823,32.43172092501955,1322.0,821.0,501.0,0.6210287443267776,0.37897125567322243,0.9975698663426489,40.97648404313077,32.41663241283277,8.559851630297999,0.7911033162023339,0.20889668379766613,0.9995347606677529,True,,1322.0,1.0,,0.0
0,234,dbscan,0.04,0.04,,2.0,0.4,full,92.30917358398438,0.8987790786317161,1.4989556560756263,664361,1780,92.98402908026327,4165.0,1764.0,2401.0,0.4235294117647059,0.5764705882352941,0.9910112359550561,142.1871078289132,92.79895268973632,49.38815513917689,0.6526537750623408,0.3473462249376592,0.9980095894708199,True,,4435.0,7.0,8.0,0.0
0,234,dbscan,0.06,0.06,,2.0,0.4,full,92.30917358398438,0.8987790786317161,1.4989556560756263,664361,1780,92.98402908026327,4435.0,1764.0,2671.0,0.39774520856820744,0.6022547914317926,0.9910112359550561,147.847459252298,92.79895268973632,55.04850656256167,0.627666874757565,0.372333125242435,0.9980095894708199,True,,4435.0,1.0,0.0,0.0
0,234,dbscan,0.08,0.08,,2.0,0.4,full,92.30917358398438,0.8987790786317161,1.4989556560756263,664361,1780,92.98402908026327,4435.0,1764.0,2671.0,0.39774520856820744,0.6022547914317926,0.9910112359550561,147.847459252298,92.79895268973632,55.04850656256167,0.627666874757565,0.372333125242435,0.9980095894708199,True,,4435.0,1.0,0.0,0.0
0,234,dbscan,0.1,0.1,,2.0,0.4,full,92.30917358398438,0.8987790786317161,1.4989556560756263,664361,1780,92.98402908026327,4435.0,1764.0,2671.0,0.39774520856820744,0.6022547914317926,0.9910112359550561,147.847459252298,92.79895268973632,55.04850656256167,0.627666874757565,0.372333125242435,0.9980095894708199,True,,4435.0,1.0,0.0,0.0
