event_id,particle_id,truth_energy,truth_eta,truth_phi,eps,min_samples,candidate_dR,group_input_mode,n_input_hits,matched,failure_reason,n_clusters,n_noise_hits,noise_fraction,largest_cluster_label,largest_cluster_n_hits,largest_cluster_energy,chosen_cluster_label,chosen_cluster_n_hits,chosen_cluster_energy,chosen_is_largest,cluster_sizes
0,233,32.27399826049805,0.3122902388930224,-1.1670601308641846,0.04,2,0.25,nearby_all,1544,True,,4,2,0.0012953367875647669,0.0,1401,42.6111448624124,0.0,1401,42.6111448624124,True,"[1401, 136, 2, 3]"
0,233,32.27399826049805,0.3122902388930224,-1.1670601308641846,0.06,2,0.25,nearby_all,1544,True,,1,0,0.0,0.0,1544,46.42216311774064,0.0,1544,46.42216311774064,True,[1544]
0,233,32.27399826049805,0.3122902388930224,-1.1670601308641846,0.08,2,0.25,nearby_all,1544,True,,1,0,0.0,0.0,1544,46.42216311774064,0.0,1544,46.42216311774064,True,[1544]
0,233,32.27399826049805,0.3122902388930224,-1.1670601308641846,0.1,2,0.25,nearby_all,1544,True,,1,0,0.0,0.0,1544,46.42216311774064,0.0,1544,46.42216311774064,True,[1544]
0,233,32.27399826049805,0.3122902388930224,-1.1670601308641846,0.12,2,0.25,nearby_all,1544,True,,1,0,0.0,0.0,1544,46.42216311774064,0.0,1544,46.42216311774064,True,[1544]
0,234,92.30917358398438,0.8987790786317161,1.4989556560756263,0.04,2,0.25,nearby_all,2722,True,,5,3,0.0011021307861866275,0.0,2676,111.17042136662349,0.0,2676,111.17042136662349,True,"[2676, 24, 2, 14, 3]"
0,234,92.30917358398438,0.8987790786317161,1.4989556560756263,0.06,2,0.25,nearby_all,2722,True,,2,0,0.0,0.0,2720,111.97221972768602,0.0,2720,111.97221972768602,True,"[2720, 2]"
0,234,92.30917358398438,0.8987790786317161,1.4989556560756263,0.08,2,0.25,nearby_all,2722,True,,1,0,0.0,0.0,2722,111.97820595114536,0.0,2722,111.97820595114536,True,[2722]
0,234,92.30917358398438,0.8987790786317161,1.4989556560756263,0.1,2,0.25,nearby_all,2722,True,,1,0,0.0,0.0,2722,111.97820595114536,0.0,2722,111.97820595114536,True,[2722]
0,234,92.30917358398438,0.8987790786317161,1.4989556560756263,0.12,2,0.25,nearby_all,2722,True,,1,0,0.0,0.0,2722,111.97820595114536,0.0,2722,111.97820595114536,True,[2722]
1,244,185.7984619140625,1.914115909980456,-0.4866983518505037,0.04,2,0.25,nearby_all,6463,True,,1,0,0.0,0.0,6463,268.80912550492286,0.0,6463,268.80912550492286,True,[6463]
1,244,185.7984619140625,1.914115909980456,-0.4866983518505037,0.06,2,0.25,nearby_all,6463,True,,1,0,0.0,0.0,6463,268.80912550492286,0.0,6463,268.80912550492286,True,[6463]
1,244,185.7984619140625,1.914115909980456,-0.4866983518505037,0.08,2,0.25,nearby_all,6463,True,,1,0,0.0,0.0,6463,268.80912550492286,0.0,6463,268.80912550492286,True,[6463]
1,244,185.7984619140625,1.914115909980456,-0.4866983518505037,0.1,2,0.25,nearby_all,6463,True,,1,0,0.0,0.0,6463,268.80912550492286,0.0,6463,268.80912550492286,True,[6463]
1,244,185.7984619140625,1.914115909980456,-0.4866983518505037,0.12,2,0.25,nearby_all,6463,True,,1,0,0.0,0.0,6463,268.80912550492286,0.0,6463,268.80912550492286,True,[6463]
1,248,274.86810302734375,2.8185930013278067,2.7249172942859903,0.04,2,0.25,nearby_all,8986,True,,1,0,0.0,0.0,8986,442.13810066388,0.0,8986,442.13810066388,True,[8986]
1,248,274.86810302734375,2.8185930013278067,2.7249172942859903,0.06,2,0.25,nearby_all,8986,True,,1,0,0.0,0.0,8986,442.13810066388,0.0,8986,442.13810066388,True,[8986]
1,248,274.86810302734375,2.8185930013278067,2.7249172942859903,0.08,2,0.25,nearby_all,8986,True,,1,0,0.0,0.0,8986,442.13810066388,0.0,8986,442.13810066388,True,[8986]
1,248,274.86810302734375,2.8185930013278067,2.7249172942859903,0.1,2,0.25,nearby_all,8986,True,,1,0,0.0,0.0,8986,442.13810066388,0.0,8986,442.13810066388,True,[8986]
1,248,274.86810302734375,2.8185930013278067,2.7249172942859903,0.12,2,0.25,nearby_all,8986,True,,1,0,0.0,0.0,8986,442.13810066388,0.0,8986,442.13810066388,True,[8986]
2,138,37.751976013183594,2.2252295277863894,-1.6665479905882234,0.04,2,0.25,nearby_all,7800,True,,1,0,0.0,0.0,7800,208.25069523775457,0.0,7800,208.25069523775457,True,[7800]
2,138,37.751976013183594,2.2252295277863894,-1.6665479905882234,0.06,2,0.25,nearby_all,7800,True,,1,0,0.0,0.0,7800,208.25069523775457,0.0,7800,208.25069523775457,True,[7800]
2,138,37.751976013183594,2.2252295277863894,-1.6665479905882234,0.08,2,0.25,nearby_all,7800,True,,1,0,0.0,0.0,7800,208.25069523775457,0.0,7800,208.25069523775457,True,[7800]
2,138,37.751976013183594,2.2252295277863894,-1.6665479905882234,0.1,2,0.25,nearby_all,7800,True,,1,0,0.0,0.0,7800,208.25069523775457,0.0,7800,208.25069523775457,True,[7800]
2,138,37.751976013183594,2.2252295277863894,-1.6665479905882234,0.12,2,0.25,nearby_all,7800,True,,1,0,0.0,0.0,7800,208.25069523775457,0.0,7800,208.25069523775457,True,[7800]
2,139,57.02202606201172,-1.8751845654339019,2.464996342030318,0.04,2,0.25,nearby_all,5288,True,,1,0,0.0,0.0,5288,154.51833367070176,0.0,5288,154.51833367070176,True,[5288]
